"","Lat","Long","pairs","landcover"
"37",-54.2913938845078,49.7170267379478,19,"Lichen"
"38",-54.2969814764403,49.7163477037954,19,"Wetland"
"39",-54.2914838972597,49.7154095394744,20,"Wetland"
"40",-54.2971012413664,49.7141914288332,20,"Lichen"
"41",-54.0695484609871,49.7075740168776,21,"Lichen"
"42",-54.0696674388161,49.7055978149579,21,"Rocky"
"43",-54.2113706239794,49.6704149995709,22,"Wetland"
"44",-54.2114631415655,49.6687978965805,22,"Lichen"
"45",-54.2825615705548,49.6614932039161,23,"Lichen"
"46",-54.2826617134849,49.6596963125175,23,"Wetland"
"47",-54.2589831070786,49.6568887545118,24,"Lichen"
"48",-54.2591042995772,49.6547325253736,24,"ConiferForest"
"49",-54.232125080446,49.6735222248469,25,"ConiferForest"
"50",-54.2322016140507,49.6721746160725,25,"Lichen"
"51",-54.2895411230806,49.6705631441449,26,"Lichen"
"52",-54.2896210582113,49.6691256250346,26,"Rocky"
"53",-54.3085352866813,49.6504052194155,27,"ConiferScrub"
"54",-54.3086393914243,49.6485184393497,27,"MixedWood"
"55",-54.2123018874255,49.6420091084406,28,"MixedWood"
"56",-54.2124096795972,49.640122477435,28,"ConiferScrub"
"57",-54.1920562476979,49.6038247050307,29,"MixedWood"
"58",-54.192113044797,49.6028364803772,29,"Broadleaf"
"59",-54.2100117493588,49.6021000698296,30,"ConiferScrub"
"60",-54.2100681801177,49.6011118297217,30,"MixedWood"
"61",-54.2541963905237,49.700047122275,31,"ConiferForest"
"62",-54.2542622531438,49.6988791783785,31,"Lichen"
"63",-54.185202343433,49.6938915018271,32,"ConiferScrub"
"64",-54.185290613827,49.6923642783019,32,"Lichen"
"65",-54.3074675947183,49.6245612435749,33,"Lichen"
"66",-54.3075369632783,49.6233033857464,33,"Rocky"
"67",-54.2466088648131,49.5962297754411,34,"ConiferScrub"
"68",-54.2466898522661,49.5947922892451,34,"MixedWood"
"69",-54.2767739719702,49.5864182314755,35,"MixedWood"
"70",-54.2768840708504,49.584441634643,35,"Lichen"
"71",-54.2890460896053,49.5822083755987,36,"ConiferForest"
"72",-54.2891158280612,49.5809505276302,36,"MixedWood"
"73",-54.2945996027935,49.7192607805953,37,"ConiferScrub"
"74",-54.2946745311857,49.7179131121936,37,"Rocky"
"75",-54.222967452186,49.6688046777322,38,"MixedWood"
"76",-54.2230595800886,49.667187558362,38,"ConiferScrub"
"77",-54.2561798890794,49.6574520517219,39,"MixedWood"
"78",-54.2562809890599,49.6556551985695,39,"Wetland"
"79",-54.3096773808809,49.6472831111905,40,"MixedWood"
"80",-54.3097467481831,49.6460252560386,40,"ConiferScrub"
"81",-54.3074653484508,49.637155902564,41,"MixedWood"
"82",-54.3075297909804,49.6359878942898,41,"ConiferScrub"
"83",-54.270892345885,49.5901480154898,42,"ConiferScrub"
"84",-54.2709675865364,49.588800343392,42,"MixedWood"
"85",-54.1110392459393,49.7167139159818,43,"Rocky"
"86",-54.1111299131703,49.7151867970889,43,"MixedWood"
"87",-54.2029509830368,49.6746199694863,44,"Wetland"
"88",-54.2030077015501,49.6736317477635,44,"Rocky"
"89",-54.225961227409,49.6673471209152,45,"ConiferScrub"
"90",-54.2260634757013,49.6655503165681,45,"Rocky"
"91",-54.2874627340044,49.6655665327956,46,"Wetland"
"92",-54.2221775019721,49.6632080210825,46,"ConiferForest"
"93",-54.2875527136007,49.663949325144,47,"Rocky"
"94",-54.2222338082178,49.6622197812385,47,"Rocky"
"95",-54.2577173721723,49.6572186131514,48,"Broadleaf"
"96",-54.2578386220045,49.6550623864202,48,"ConiferForest"
"97",-54.0797246628163,49.7067516781997,49,"Rocky"
"98",-54.0798055016788,49.7054042554608,49,"Broadleaf"
"99",-54.1923237841953,49.6810198679762,50,"Wetland"
"100",-54.1924376744744,49.6790434444725,50,"ConiferScrub"
"101",-54.2275158218752,49.6741315830609,51,"MixedWood"
"102",-54.2276180373998,49.6723347784645,51,"ConiferScrub"
"103",-54.1950332873525,49.621889697918,52,"ConiferForest"
"104",-54.1951158654128,49.6204522810093,52,"ConiferScrub"
"105",-54.2430442247177,49.5931760714293,53,"MixedWood"
"106",-54.2431151731183,49.5919182741364,53,"ConiferScrub"
"107",-54.2699513947765,49.5772610658603,54,"ConiferScrub"
"108",-54.2700316424073,49.575823546853,54,"ConiferForest"
"109",-54.1190804263643,49.7191634424395,55,"ConiferScrub"
"110",-54.1191495739839,49.7179956379136,55,"ConiferForest"
"111",-54.2197427704221,49.6694469447783,56,"MixedWood"
"112",-54.2198350073118,49.6678298300107,56,"Wetland"
"113",-54.2922640161031,49.6539839161872,57,"Wetland"
"114",-54.2923438242501,49.6525463897053,57,"Rocky"
"115",-54.2033991649875,49.6329778357135,58,"MixedWood"
"116",-54.2034609387597,49.6318997674397,58,"ConiferForest"
"117",-54.1693793147349,49.6105590678471,59,"ConiferScrub"
"118",-54.1694365837708,49.6095708636321,59,"Wetland"
"119",-54.2840265665517,49.5829002802728,60,"ConiferScrub"
"120",-54.2841413490659,49.5808338244078,60,"ConiferForest"
"121",-54.0904523994099,49.7106204417761,61,"MixedWood"
"122",-54.0905275825486,49.709362836073,61,"Broadleaf"
"123",-54.189228208668,49.6866123896195,62,"ConiferScrub"
"124",-54.1893266970063,49.6849054846495,62,"Wetland"
"125",-54.1939063461557,49.6848366999721,63,"ConiferScrub"
"126",-54.193978792188,49.6835789751527,63,"Wetland"
"127",-54.2327510285139,49.6576137964142,64,"Rocky"
"128",-54.2928998414864,49.6575073155007,64,"Wetland"
"129",-54.2868453669001,49.6567357730741,65,"Rocky"
"130",-54.2328733830872,49.6554576150908,65,"Wetland"
"131",-54.2929596915983,49.6564291707745,66,"ConiferScrub"
"132",-54.2869003507522,49.6557474785684,66,"Wetland"
"133",-54.186729513011,49.7034647024541,67,"Wetland"
"134",-54.1868385295616,49.7015781327999,67,"Rocky"
"135",-54.185103679378,49.6955983980923,68,"Rocky"
"136",-54.1851659946121,49.6945203584215,68,"Wetland"
"137",-54.1955300502457,49.6783087639314,69,"Wetland"
"138",-54.1956489698079,49.6762424963294,69,"ConiferScrub"
"139",-54.2441740173316,49.6541079946247,70,"ConiferScrub"
"140",-54.2442552421655,49.6526705258096,70,"Wetland"
"141",-54.220603186813,49.651924846599,71,"ConiferScrub"
"142",-54.22069021884,49.6503975657979,71,"MixedWood"
"143",-54.2176461054721,49.6454663931647,72,"ConiferScrub"
"144",-54.2177434572765,49.6437594346065,72,"MixedWood"
"145",-54.1961508114849,49.7301423221202,73,"Wetland"
"146",-54.1962440300745,49.7285252568882,73,"Rocky"
"147",-54.101837103708,49.7151343953219,74,"ConiferScrub"
"148",-54.1027485635906,49.7138077591356,74,"Rocky"
"149",-54.1019334042194,49.7135174585877,75,"MixedWood"
"150",-54.1028341335661,49.7123704805784,75,"ConiferScrub"
"151",-54.3053773899247,49.6498819092732,76,"ConiferScrub"
"152",-54.3054518373825,49.6485342126813,76,"Wetland"
"153",-54.1916549109266,49.6180292522257,77,"ConiferScrub"
"154",-54.1917634089184,49.6161426466346,77,"Wetland"
"155",-54.1629520624603,49.6068030338489,78,"ConiferForest"
"156",-54.1630146710546,49.6057249981666,78,"ConiferScrub"
"157",-54.1343256247943,49.7171129001717,79,"Rocky"
"158",-54.1344420140597,49.7151365882837,79,"ConiferScrub"
"159",-54.0746807179109,49.7052748264057,80,"MixedWood"
"160",-54.0747670901138,49.7038375815688,80,"Wetland"
"161",-54.2333198841967,49.6573575115547,81,"Rocky"
"162",-54.2334269222935,49.6554708519628,81,"Wetland"
"163",-54.2944483130171,49.6545747843192,82,"ConiferForest"
"164",-54.2945280584955,49.6531372553909,82,"ConiferScrub"
"165",-54.3027524594181,49.6522497230257,83,"Wetland"
"166",-54.3028667305683,49.6501832600675,83,"MixedWood"
"167",-54.1596865758426,49.6058232493441,84,"ConiferForest"
"168",-54.1597597003123,49.6045655443673,84,"Wetland"
"169",-54.1118865075186,49.7164651707348,85,"ConiferScrub"
"170",-54.1119878103904,49.7147583894124,85,"MixedWood"
"171",-54.2897181241174,49.6549138936009,86,"Wetland"
"172",-54.2897730462608,49.653925596433,86,"MixedWood"
"173",-54.2106369558833,49.6396299338741,87,"ConiferScrub"
"174",-54.2107139909262,49.6382823417326,87,"ConiferForest"
"175",-54.1629520624603,49.6068030338489,88,"ConiferForest"
"176",-54.1630146710546,49.6057249981666,88,"ConiferScrub"
"177",-54.2122234486497,49.602153396882,89,"ConiferScrub"
"178",-54.2335164767996,49.602574669327,89,"Wetland"
"179",-54.233602953968,49.6010473587544,90,"ConiferScrub"
"180",-54.2123208409852,49.6004464333614,90,"MixedWood"
"181",-54.1179345623351,49.7174256075208,91,"ConiferForest"
"182",-54.1180622588467,49.7152696619865,91,"Rocky"
"183",-54.0913146922993,49.7124413961048,92,"MixedWood"
"184",-54.0913791203748,49.7113634478962,92,"ConiferForest"
"185",-54.0675703771806,49.7035654803952,93,"Rocky"
"186",-54.0676677755141,49.7019485897192,93,"Wetland"
"187",-54.1969992545294,49.6238265884786,94,"MixedWood"
"188",-54.1970766227281,49.6224790083258,94,"ConiferScrub"
"189",-54.1651509296087,49.6094659088261,95,"ConiferForest"
"190",-54.1652708444529,49.6073996705621,95,"ConiferScrub"
"191",-54.2774456195701,49.5793269535627,96,"ConiferScrub"
"192",-54.2775156490981,49.5780691170638,96,"Wetland"
"193",-54.2648069610662,49.718560610765,97,"ConiferScrub"
"194",-54.2648776622051,49.7173028178946,97,"Rocky"
"195",-54.0796616041995,49.7054905885407,98,"Broadleaf"
"196",-54.0797316632889,49.7043228220009,98,"ConiferScrub"
"197",-54.2602546071233,49.7057683322175,99,"ConiferScrub"
"198",-54.2603304498544,49.7044206991211,99,"ConiferForest"
"199",-54.2355086639209,49.6578596414999,100,"MixedWood"
"200",-54.2355697826591,49.6567815485031,100,"Wetland"
"201",-54.3124771145102,49.6115432282245,101,"MixedWood"
"202",-54.312556208715,49.6101056672321,101,"ConiferForest"
"203",-54.1608941486484,49.6064826465509,102,"ConiferForest"
"204",-54.1609724646387,49.6051351042347,102,"ConiferScrub"
"205",-54.1253147445882,49.7169794053489,103,"Rocky"
"206",-54.1253731233923,49.7159912572923,103,"ConiferScrub"
"207",-54.1931127642009,49.7106367820467,104,"Rocky"
"208",-54.193185296776,49.7093790637111,104,"Wetland"
"209",-54.0672338432405,49.7045465602692,105,"ConiferScrub"
"210",-54.0673583136893,49.7024805341626,105,"Wetland"
"211",-54.1892333924987,49.686522552532,106,"ConiferScrub"
"212",-54.1893266970063,49.6849054846495,106,"Wetland"
"213",-54.2561798890794,49.6574520517219,107,"MixedWood"
"214",-54.2562809890599,49.6556551985695,107,"Wetland"
"215",-54.3081003155828,49.6507549484889,108,"ConiferScrub"
"216",-54.3081548574858,49.6497666356314,108,"MixedWood"
"217",-54.1065046962716,49.715970892747,109,"Broadleaf"
"218",-54.1065634546522,49.7149827608798,109,"MixedWood"
"219",-54.1898226813572,49.712356198359,110,"Wetland"
"220",-54.1899367992531,49.7103797898367,110,"Rocky"
"221",-54.1854274602009,49.7019936389589,111,"Wetland"
"222",-54.1854845889808,49.7010054367586,111,"MixedWood"
"223",-54.1891199891313,49.6956960183843,112,"Wetland"
"224",-54.1891822157394,49.6946179750145,112,"ConiferScrub"
"225",-54.2173950185703,49.6450105388631,113,"ConiferScrub"
"226",-54.2174821297051,49.6434832603885,113,"MixedWood"
"227",-54.2977542541147,49.5748552704299,114,"Wetland"
"228",-54.2978634608175,49.5728786352963,114,"ConiferForest"
"229",-54.1245423798182,49.7183096708202,115,"ConiferScrub"
"230",-54.1246485541849,49.7165130394587,115,"Wetland"
"231",-54.1065046962716,49.715970892747,116,"Broadleaf"
"232",-54.1065634546522,49.7149827608798,116,"MixedWood"
"233",-54.0844366821279,49.7114586522021,117,"MixedWood"
"234",-54.2954722415152,49.7160425658531,117,"ConiferScrub"
"235",-54.0845443100548,49.7096620823857,118,"Rocky"
"236",-54.2955471372416,49.7146948957283,118,"MixedWood"
"237",-54.2090342441661,49.6337436635271,119,"ConiferScrub"
"238",-54.2091369938813,49.6319468745325,119,"Wetland"
"239",-54.3022070269776,49.624528651256,120,"ConiferScrub"
"240",-54.3023162452183,49.6225520259118,120,"MixedWood"
"241",-54.0555697554367,49.7024510861815,121,"Rocky"
"242",-54.0556512499884,49.7011036915684,121,"Wetland"
"243",-54.0573457451242,49.7006070051015,122,"Wetland"
"244",-54.0574326143833,49.6991697814131,122,"MixedWood"
"245",-54.2961349733066,49.6516454617872,123,"Wetland"
"246",-54.296199719934,49.6504774673476,123,"ConiferForest"
"247",-54.3106472090531,49.6372299082426,124,"Wetland"
"248",-54.3107264288878,49.635792355817,124,"Rocky"
"249",-54.2086037766007,49.6025159184355,125,"ConiferScrub"
"250",-54.2086602366439,49.601527679584,125,"MixedWood"
"251",-54.2365058061619,49.6011167491789,126,"ConiferScrub"
"252",-54.2365871045788,49.599679276429,126,"ConiferForest"
